po_number,planning_date,po_line_low_sts,days_past_due
1727594,2024-10-25,20,57
1721000,2024-10-25,50,57
1721000,2024-10-25,50,57
1721663,2024-10-25,50,57
1721000,2024-10-25,50,57
1721663,2024-10-25,50,57
1721663,2024-10-25,50,57
1721663,2024-10-25,50,57
1721663,2024-10-25,50,57
1721663,2024-10-25,50,57
1727594,2024-10-25,20,57
1721663,2024-10-25,50,57
1726695,2024-10-29,35,53
1726695,2024-10-29,35,53
1726695,2024-10-29,35,53
1722371,2024-10-31,50,51
1726189,2024-10-31,50,51
1722371,2024-10-31,50,51
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1723006,2024-11-01,50,50
1726147,2024-11-08,35,43
1726147,2024-11-08,35,43
1725735,2024-11-11,35,40
1725731,2024-11-11,35,40
1725735,2024-11-11,35,40
1725731,2024-11-11,35,40
1725731,2024-11-11,35,40
1725731,2024-11-11,35,40
1725527,2024-11-13,50,38
1724977,2024-11-13,50,38
1724977,2024-11-13,50,38
1724958,2024-11-13,50,38
1724977,2024-11-13,50,38
1724817,2024-11-13,50,38
1724980,2024-11-13,50,38
1724977,2024-11-13,50,38
1724977,2024-11-13,50,38
1724977,2024-11-13,50,38
1724977,2024-11-13,50,38
1724979,2024-11-13,50,38
1725527,2024-11-13,50,38
1724977,2024-11-13,50,38
1724977,2024-11-13,50,38
1724979,2024-11-13,50,38
1724837,2024-11-13,50,38
1724977,2024-11-13,50,38
1725514,2024-11-13,50,38
1724959,2024-11-13,50,38
1724977,2024-11-13,50,38
1725525,2024-11-13,50,38
1724977,2024-11-13,50,38
1724822,2024-11-13,50,38
1725514,2024-11-13,50,38
1725526,2024-11-13,50,38
1724979,2024-11-13,50,38
1724956,2024-11-13,50,38
1724812,2024-11-13,50,38
1724955,2024-11-13,50,38
1724953,2024-11-13,50,38
1724953,2024-11-13,50,38
1724953,2024-11-13,50,38
1724953,2024-11-13,50,38
1725522,2024-11-13,50,38
1724953,2024-11-13,50,38
1724842,2024-11-13,50,38
1725746,2024-11-13,50,38
1724953,2024-11-13,50,38
1725535,2024-11-13,50,38
1724808,2024-11-13,50,38
1724807,2024-11-13,50,38
1724952,2024-11-13,50,38
1724952,2024-11-13,50,38
1724842,2024-11-13,50,38
1724841,2024-11-13,50,38
1724955,2024-11-13,50,38
1724812,2024-11-13,50,38
1724955,2024-11-13,50,38
1724812,2024-11-13,50,38
1725513,2024-11-13,50,38
1725513,2024-11-13,50,38
1725513,2024-11-13,50,38
1724839,2024-11-13,50,38
1725350,2024-11-13,50,38
1725350,2024-11-13,50,38
